Player,Team,Gms,Att,Yds,Avg,YPG,Lg,TD
Kareem Hunt,KC,16,272,"1,327",4.88,82.9,69,8
Todd Gurley,LA,15,279,"1,305",4.68,87,57,13
Le'Veon Bell,PIT,15,321,"1,291",4.02,86.1,27,9
LeSean McCoy,BUF,16,287,"1,138",3.97,71.1,48,6
Mark Ingram,NO,16,230,"1,124",4.89,70.2,72,12
Jordan Howard,CHI,16,276,"1,122",4.07,70.1,53,9
Melvin Gordon,LAC,16,284,"1,105",3.89,69.1,87,8
Leonard Fournette,JAX,13,268,"1,040",3.88,80,90,9
C.J. Anderson,DEN,16,245,"1,007",4.11,62.9,40,3
Ezekiel Elliott,DAL,10,242,983,4.06,98.3,30,7
Alex Collins,BAL,15,212,973,4.59,64.9,50,6
Frank Gore,IND,16,261,961,3.68,60.1,21,3
Carlos Hyde,SF,16,240,938,3.91,58.6,61,8
Dion Lewis,NE,16,180,896,4.98,56,44,6
Marshawn Lynch,OAK,15,207,891,4.3,59.4,51,7
Lamar Miller,HOU,16,238,888,3.73,55.5,21,3
Jay Ajayi,MIA,14,208,873,4.2,62.4,71,1
Devonta Freeman,ATL,14,196,865,4.41,61.8,44,7
Isaiah Crowell,CLE,16,206,853,4.14,53.3,59,2
Latavius Murray,MIN,16,216,842,3.9,52.6,46,8
Bilal Powell,NYJ,15,178,772,4.34,51.5,75,5
LeGarrette Blount,PHI,16,173,766,4.43,47.9,68,2
Cam Newton,CAR,16,139,754,5.42,47.1,69,6
Orleans Darkwa,NYG,15,171,751,4.39,50.1,75,5
Derrick Henry,TEN,16,176,744,4.23,46.5,75,5
Alvin Kamara,NO,16,120,728,6.07,45.5,74,8
Jonathan Stewart,CAR,15,198,680,3.43,45.3,60,6
DeMarco Murray,TEN,15,184,659,3.58,43.9,75,6
Kenyan Drake,MIA,16,133,644,4.84,40.2,66,3
Tevin Coleman,ATL,15,156,628,4.03,41.9,52,5
Joe Mixon,CIN,14,178,626,3.52,44.7,25,4
Samaje Perine,WAS,16,175,603,3.45,37.7,30,1
Javorius Allen,BAL,16,153,591,3.86,36.9,37,4
Russell Wilson,SEA,16,95,586,6.17,36.6,31,3
Jerick McKinnon,MIN,16,150,570,3.8,35.6,58,3
Jamaal Williams,GB,16,153,556,3.63,34.8,25,4
Ameer Abdullah,DET,14,165,552,3.35,39.4,34,4
Alfred Morris,DAL,14,115,547,4.76,39.1,70,1
Adrian Peterson,ARI,10,156,529,3.39,52.9,27,2
Wayne Gallman,NYG,13,111,476,4.29,36.6,24,0
Matt Breida,SF,16,105,465,4.43,29.1,33,2
Giovani Bernard,CIN,16,105,458,4.36,28.6,25,2
Aaron Jones,GB,12,81,448,5.53,37.3,46,4
Christian McCaffrey,CAR,16,117,435,3.72,27.2,40,2
Tyrod Taylor,BUF,15,84,427,5.08,28.5,32,4
Kerwynn Williams,ARI,16,120,426,3.55,26.6,25,1
Peyton Barber,TB,16,108,423,3.92,26.4,34,3
DeShone Kizer,CLE,15,77,419,5.44,27.9,20,5
Doug Martin,TB,11,138,406,2.94,36.9,27,3
Mike Gillislee,NE,9,104,383,3.68,42.6,16,5
