Winner,Loser
Clemson,Alabama
Wisconsin,Western Mich.
Florida,Iowa
Southern California,Penn St.
Oklahoma,Auburn
LSU,Louisville
Clemson,Ohio St.
Alabama,Washington
Georgia Tech,Kentucky
Air Force,South Alabama
Georgia,TCU
Tennessee,Nebraska
Florida St.,Michigan
Stanford,North Carolina
Oklahoma St,Colorado
Virginia Tech,Arkansas
South Fla.,South Carolina
Utah,Indiana
Northwestern,Pittsburgh
Miami (FL),West Virginia
Kansas St.,Texas A&M
Baylor,Boise St.
Army,North Texas
Minnesota,Washington St.
Wake Forest,Temple
NC State,Vanderbilt
Boston College,Maryland
Mississippi St.,Miami (OH)
Hawaii,Middle Tenn.
Louisiana Tech,Navy
Old Dominion,Eastern Mich.
Troy,Ohio
Idaho,Colorado St.
BYU,Wyoming
Western Ky.,Memphis
Tulsa,Central Mich.
Arkansas St.,UCF
Appalachian St.,Toledo
San Diego St.,Houston
New Mexico,UTSA
Southern Miss.,Louisiana
